"BuildHiGGS","BuildHiGGS","DefTheory","DefTheory","PoissonBracket","PoissonBracket","Velocity","Velocity","ToNewCanonical","ToNewCanonical"
0.,0.,0.,0.,0.,0.,0.,0.,3.858158366410099e9,0.00028
0.,0.,0.,0.,0.,0.,0.,0.,3.858158366418811e9,0.000256
0.,0.,0.,0.,0.,0.,0.,0.,3.858158366427856e9,0.00028
0.,0.,0.,0.,0.,0.,0.,0.,3.858158366436954e9,0.000305
0.,0.,0.,0.,0.,0.,0.,0.,3.858158366446223e9,0.000285
0.,0.,0.,0.,0.,0.,0.,0.,3.85815836645529e9,0.000287
0.,0.,0.,0.,0.,0.,0.,0.,3.858158366464612e9,0.000295
0.,0.,0.,0.,0.,0.,0.,0.,3.858158366473953e9,0.000274
0.,0.,0.,0.,0.,0.,0.,0.,3.858158366483403e9,0.000283
0.,0.,0.,0.,0.,0.,0.,0.,3.858158366492676e9,0.000241
0.,0.,0.,0.,0.,0.,0.,0.,3.858158366502267e9,0.000244
