"BuildHiGGS","BuildHiGGS","DefTheory","DefTheory","PoissonBracket","PoissonBracket","Velocity","Velocity","ToNewCanonical","ToNewCanonical"
0.,0.,0.,0.,0.,0.,0.,0.,3.858158374321091e9,0.608077
0.,0.,0.,0.,0.,0.,0.,0.,3.858158374965088e9,0.556659
0.,0.,0.,0.,0.,0.,0.,0.,3.858158375557353e9,0.556155
0.,0.,0.,0.,0.,0.,0.,0.,3.85815837614884e9,0.557224
0.,0.,0.,0.,0.,0.,0.,0.,3.858158376740614e9,0.550686
0.,0.,0.,0.,0.,0.,0.,0.,3.858158377325624e9,0.548412
0.,0.,0.,0.,0.,0.,0.,0.,3.858158377908386e9,0.554717
0.,0.,0.,0.,0.,0.,0.,0.,3.85815837849868e9,0.553343
0.,0.,0.,0.,0.,0.,0.,0.,3.858158379087459e9,0.555702
0.,0.,0.,0.,0.,0.,0.,0.,3.858158379679381e9,0.58111
0.,0.,0.,0.,0.,0.,0.,0.,3.858158380297706e9,0.585693
0.,0.,0.,0.,0.,0.,0.,0.,3.858158380919557e9,0.577514
0.,0.,0.,0.,0.,0.,0.,0.,3.858158381532311e9,0.56451
0.,0.,0.,0.,0.,0.,0.,0.,3.858158382132178e9,0.564478
0.,0.,0.,0.,0.,0.,0.,0.,3.85815838273336e9,0.553133
0.,0.,0.,0.,0.,0.,0.,0.,3.858158383321516e9,0.557388
0.,0.,0.,0.,0.,0.,0.,0.,3.858158383913957e9,0.543921
0.,0.,0.,0.,0.,0.,0.,0.,3.858158385312521e9,0.654015
0.,0.,0.,0.,0.,0.,0.,0.,3.858158386001227e9,0.531816
0.,0.,0.,0.,3.858158366528852e9,20.84445,0.,0.,0.,0.
0.,0.,0.,0.,0.,0.,0.,0.,3.858158389538332e9,0.000216
0.,0.,0.,0.,0.,0.,0.,0.,3.85815838954716e9,0.000195
0.,0.,0.,0.,0.,0.,0.,0.,3.858158389555193e9,0.000211
0.,0.,0.,0.,0.,0.,0.,0.,3.858158389563307e9,0.000213
0.,0.,0.,0.,0.,0.,0.,0.,3.858158389571521e9,0.000205
0.,0.,0.,0.,0.,0.,0.,0.,3.858158389579758e9,0.000203
0.,0.,0.,0.,0.,0.,0.,0.,3.858158389588216e9,0.000205
0.,0.,0.,0.,0.,0.,0.,0.,3.858158389596557e9,0.00023
0.,0.,0.,0.,0.,0.,0.,0.,3.858158389604869e9,0.0002
0.,0.,0.,0.,0.,0.,0.,0.,3.858158389613553e9,0.000213
0.,0.,0.,0.,0.,0.,0.,0.,3.858158389622083e9,0.000202
0.,0.,0.,0.,0.,0.,0.,0.,3.858158389630768e9,0.000203
0.,0.,0.,0.,0.,0.,0.,0.,3.858158389639363e9,0.000211
0.,0.,0.,0.,0.,0.,0.,0.,3.858158389648188e9,0.000225
0.,0.,0.,0.,0.,0.,0.,0.,3.858158389657566e9,0.000238
0.,0.,0.,0.,0.,0.,0.,0.,3.858158389666991e9,0.000225
0.,0.,0.,0.,0.,0.,0.,0.,3.858158389676292e9,0.000231
0.,0.,0.,0.,0.,0.,0.,0.,3.858158389685726e9,0.000205
0.,0.,0.,0.,0.,0.,0.,0.,3.858158389695224e9,0.000208
0.,0.,0.,0.,0.,0.,0.,0.,3.858158390510231e9,0.518082
0.,0.,0.,0.,0.,0.,0.,0.,3.858158391061029e9,0.486801
0.,0.,0.,0.,0.,0.,0.,0.,3.858158391584533e9,0.482636
0.,0.,0.,0.,0.,0.,0.,0.,3.858158392103172e9,0.483913
0.,0.,0.,0.,0.,0.,0.,0.,3.858158392621777e9,0.480471
0.,0.,0.,0.,0.,0.,0.,0.,3.858158393138318e9,0.477845
0.,0.,0.,0.,0.,0.,0.,0.,3.858158393652011e9,0.484335
0.,0.,0.,0.,0.,0.,0.,0.,3.858158394171322e9,0.480393
0.,0.,0.,0.,0.,0.,0.,0.,3.858158394688299e9,0.479956
0.,0.,0.,0.,0.,0.,0.,0.,3.858158395205113e9,0.48016
0.,0.,0.,0.,0.,0.,0.,0.,3.85815839572099e9,0.490756
0.,0.,0.,0.,0.,0.,0.,0.,3.858158396247348e9,0.476494
0.,0.,0.,0.,0.,0.,0.,0.,3.858158396760474e9,0.480135
